Tipo,Codigo,Titulo,OrigemPasta,OrigemArquivo,DestinoPasta,DestinoArquivo
PRODUTO,DS019,Capacho bem vindo,E8E32475-C4F4-4757-BB25-03DFD9E01E57,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS019_capacho_bem_vindo,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS019_capacho_bem_vindo\DS019_capacho_bem_vindo_01.jpg
PRODUTO,DS020,Tenis rosa 33Y,4306E893-3102-4F3B-A200-7B02AA77BBA0,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS020_tenis_rosa_33y,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS020_tenis_rosa_33y\DS020_tenis_rosa_33y_01.jpg
PRODUTO,DS021,Escova blower ILINK,04012255-FEE6-4E1E-B348-4EEAD516B0E3,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS021_escova_blower_ilink,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS021_escova_blower_ilink\DS021_escova_blower_ilink_01.jpg
PRODUTO,DS021,Escova blower ILINK,04012255-FEE6-4E1E-B348-4EEAD516B0E3,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS021_escova_blower_ilink,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS021_escova_blower_ilink\DS021_escova_blower_ilink_02.jpg
PRODUTO,DS022,Tenis branco 37 38,A773D84D-0C04-40EF-9D37-49FF3CEFA7F0,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS022_tenis_branco_37_38,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS022_tenis_branco_37_38\DS022_tenis_branco_37_38_01.jpg
PRODUTO,DS023,AdereFix kit 4 unidades,964BB06C-3986-4D5B-B2E6-03BEBB0E8F48,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS023_aderefix_kit_4_unidades,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS023_aderefix_kit_4_unidades\DS023_aderefix_kit_4_unidades_01.jpg
PRODUTO,DS024,Kit 6 carrinhos die cast,C76CA5CB-5CFD-4144-A2F6-8D769E1BDDE5,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS024_kit_6_carrinhos_die_cast,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS024_kit_6_carrinhos_die_cast\DS024_kit_6_carrinhos_die_cast_01.jpg
PRODUTO,DS024,Kit 6 carrinhos die cast,C76CA5CB-5CFD-4144-A2F6-8D769E1BDDE5,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS024_kit_6_carrinhos_die_cast,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS024_kit_6_carrinhos_die_cast\DS024_kit_6_carrinhos_die_cast_02.jpg
PRODUTO,DS025,Pijama infantil dinossauro 80 cm,FBB42352-96E6-4DE0-8377-689936CF9555,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS025_pijama_infantil_dinossauro_80_cm,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS025_pijama_infantil_dinossauro_80_cm\DS025_pijama_infantil_dinossauro_80_cm_01.jpg
PRODUTO,DS026,Motobomba de piscina WEG Sibrape,50CFE784-4F6B-4E36-874A-BD3365F6A885,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS026_motobomba_de_piscina_weg_sibrape,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS026_motobomba_de_piscina_weg_sibrape\DS026_motobomba_de_piscina_weg_sibrape_01.jpg
